video_id,channel_name,title,views,likes,duration,published_dates,published_time
Ro96aFlmSqE,Xylem SSLC,SSLC Public Exam 2026: Mega Marathon | Sure Questions | Xylem SSLC,136520,8209,208,2026-02-01,17:37:40
BremPxYBlYc,Xylem SSLC,BIG HAPPY NEWS🛑 പഠിക്കാനുള്ള Syllabus 25% കുറയ്ക്കും | Xylem SSLC,18158,936,1,2026-02-01,12:30:16
PVVQ9Iks26o,Xylem SSLC,Coming Soon..,25802,866,0,2026-02-01,11:30:20
ml1ViawmczU,Xylem SSLC,നിങ്ങളുടെ കൂടെ ഞങ്ങളുണ്ട്💚,27952,1451,1,2026-02-01,10:01:18
zjpXbzhzUMI,Xylem SSLC,SSLC Maths 2026: Geometry and Algebra | One Shot Revision | Xylem SSLC,0,24,0,2026-02-01,09:56:33
BxbFkm4aSFs,Xylem SSLC,SSLC February 2 മുതൽ എങ്ങനെ പഠിക്കണം? Effective Study Plan | Xylem SSLC,0,94,0,2026-02-01,06:42:06
wCsA8fg8MJU,Xylem SSLC,സുകുമാരൻ ചലിഗദ്ധ -കെത്തളു | Part 4,28331,1045,1,2026-02-01,06:07:41
AYKMLejViKo,Xylem SSLC,SSLC IT Public Exam 2026 | Marathon | Practical & Theory | Xylem SSLC,181218,9272,232,2026-01-31,18:23:41
LLcrqe00Iuk,Xylem SSLC,സൈലം സ്കൂളിൽ എങ്ങനെയാണ് ഇത്രയും Rank Holders ഉണ്ടാവുന്നത്..! | Xylem SSLC,1453,35,9,2026-01-31,15:30:22
JAaqpJI020w,Xylem SSLC,SSLC Chapter 6: The World of Robots | Auto Sanitizer Dispenser & Ai Face Detection  | Xylem SSLC,25324,1095,24,2026-01-31,14:30:21
_UK1uAUi_Uw,Xylem SSLC,SSLC Hindi: ഇത് നിങ്ങൾ തെറ്റിക്കരുത്!,19099,816,1,2026-01-31,13:45:08
zgdoQu23qyw,Xylem SSLC,SSLC വിദ്യാർത്ഥികൾക്ക് ഇതാ ഒരു കിടിലൻ ഫ്രീ റിവിഷൻ ക്ലാസ്..,10882,267,0,2026-01-31,13:22:16
csQEZkNlb2Q,Xylem SSLC,"SSLC IT Chapter 6: The World of Robots | LED, Buzzer | Practical | Xylem SSLC",95685,3945,23,2026-01-31,12:58:26
vuWr2ffmikg,Xylem SSLC,SSLC Hindi | 4 മാർക്കിന്റ 2 പ്രധാന ചോദ്യങ്ങൾ..? | Xylem SSLC,2071,96,8,2026-01-31,12:01:44
-_wDoIsKKTs,Xylem SSLC,SSLC IT MegaMarathon Live,33946,1306,0,2026-01-31,10:29:16
o5lsmkpPSlA,Xylem SSLC,+2 വിനു ശേഷം നിങ്ങൾ എന്ത് ചെയ്യണം.?,7492,137,0,2026-01-30,13:14:12
NFGuG6ihvi0,Xylem SSLC,Scientist ആവാൻ എന്താണ് ചെയ്യണം? Crack Future @Plus Two | Xylem SSLC,1603,81,7,2026-01-30,13:00:51
3zxSJ89jTv8,Xylem SSLC,കുറഞ്ഞ സമയം കൊണ്ട് എങ്ങനെ പഠിക്കാം.,29827,1004,0,2026-01-30,12:30:11
Ywf1cM5YIYw,Xylem SSLC,പത്താം ക്ലാസ് വിദ്യാർഥിയാണോ നിങ്ങൾ ..?,8511,160,0,2026-01-30,12:15:17
jr--yEH7Lbs,Xylem SSLC,SSLC Physics | Fixed Pulley | Movable Pulley | ഇത് മാത്രം പഠിച്ചാൽ മതി | Xylem SSLC,3449,164,12,2026-01-30,12:01:30
mke8_ShD5hU,Xylem SSLC,SSLC Physics 2026 | Chapter 6: Electromagnetic Induction in Daily Life | Full Chapter Revision,24122,1258,170,2026-01-29,17:58:10
EygKcrRLP1A,Xylem SSLC,SSLC IT 2026 | All Chapters Practical Model Questions | Oneshot | Xylem SSLC,186510,6614,203,2026-01-29,14:45:01
siCvQelldQ4,Xylem SSLC,സൈലം നടത്തുന്ന Model Exam | നിങ്ങൾക്കും പങ്കെടുക്കാം | Xylem SSLC,8019,368,1,2026-01-29,14:30:51
HsZpF4yvMxY,Xylem SSLC,പഠിക്കാനുള്ള മൂഡ് ഇല്ലേ? കട്ട Motivation 🔥 | Xylem SSLC,49648,4800,5,2026-01-29,14:00:35
x1_sJcrAZts,Xylem SSLC,Last Chapter ലെ Equations പഠിക്കാം..,40540,2052,3,2026-01-29,13:39:12
ccaMsiF-7mA,Xylem SSLC,ഫിസിക്സിലെ ഈ ചാപ്റ്റർ അടിപൊളി ആയി പഠിക്കാം..,12493,308,0,2026-01-29,06:37:30
PeGqyzbsXg4,Xylem SSLC,SSLC Maths 2026 | Chapter 12 : Solids / Full Chapter Revision | Xylem SSLC,40835,1758,172,2026-01-28,17:21:21
ayJNM_p_iIc,Xylem SSLC,Xylem Class 10 Maths Model Exam Centres | Xylem SSLC,3125,88,1,2026-01-28,15:30:01
amnql3irwBU,Xylem SSLC,SSLC വിദ്യാർത്ഥികൾ മാത്രം കാണുക! | Xylem SSLC,12131,665,3,2026-01-28,14:30:01
KfZofH52eyg,Xylem SSLC,SSLC IT All Chapters: 100+ | Theory Q&A | Xylem SSLC,127322,5391,154,2026-01-28,12:30:26
WNKYkULMsD0,Xylem SSLC,ഇനി ഏതാനും ദിവസങ്ങൾ മാത്രം...,12374,343,0,2026-01-28,12:18:00
zJ2xLg9BsZo,Xylem SSLC,SSLC IT Theory 2026 | Exam ന് ചോദിക്കുന്ന Developers and Founders ഒറ്റ വീഡിയോയിൽ !! | Xylem SSLC,21741,936,7,2026-01-28,11:30:53
qZ_oF60fVkk,Xylem SSLC,uses of DNA Fingerprinting !!  | Xylem SSLC,32716,1586,2,2026-01-27,14:45:05
im1z8xCZoAA,Xylem SSLC,Pineal Gland ഉത്പാദിപ്പിക്കുന്ന ഹോർമോൺ ഏത് ? | Xylem SSLC,19608,631,0,2026-01-27,14:34:30
MtnSqf_L5ac,Xylem SSLC,Maths Model Exam എഴുതിയാലോ ?  | Xylem SSLC,27595,1104,0,2026-01-27,14:32:57
EuHdLGOg0YQ,Xylem SSLC,Solids / Full Chapter പഠിച്ചു set ആക്കാം !! | Xylem SSLC,17999,505,0,2026-01-27,14:17:56
3GBNFMYUKrU,Xylem SSLC,Metals & Its Uses !! | Xylem SSLC,11781,450,1,2026-01-27,14:15:00
k7FjEHolJJw,Xylem SSLC,Minerals !!  | Xylem SSLC,14518,1732,1,2026-01-27,13:41:24
L4Agi5opqi0,Xylem SSLC,SSLC Social Science 2026 : GEOGRAPHY യിലെ ESSAY ചോദ്യം | One Shot | Xylem SSLC,13664,614,6,2026-01-27,13:37:12
h0wt4i68g74,Xylem SSLC,SSLC IT Theory 2026 | Exam ന് ചോദിക്കുന്ന Full Forms ഒറ്റ വിഡിയോയിൽ !! | Xylem SSLC,30041,1328,10,2026-01-27,12:31:05
lz43XnLX9iA,Xylem SSLC,SSLC Hindi 2026 | ചോദ്യങ്ങൾ എങ്ങനെ ആയിരിക്കും..? | Xylem SSLC,12800,492,29,2026-01-27,11:30:44
tgH3sShK0uI,Xylem SSLC,विशेषण शब्द कौन- सा है ?| Xylem SSLC,19170,654,1,2026-01-26,09:30:29
RRNG0RjqaZ8,Xylem SSLC,SSLC Biology 2026: Biology & Technology | Ons Shot Revision | Xylem SSLC,52412,2392,83,2026-01-24,15:20:14
38-lHhrt8OY,Xylem SSLC,നിങ്ങളും ഇങ്ങനെ ആണോ? 🤔,33004,1138,0,2026-01-24,12:30:08
MGLuvZtZU7I,Xylem SSLC,SSLC Biology: 1 മിനുറ്റ് കൊണ്ട് ഈ ചോദ്യം സിംപിളായി പഠിക്കാം..,27131,1001,1,2026-01-24,11:58:16
ybZSmusEkdQ,Xylem SSLC,SSLC Biology | Glutamate And OnBipolar OffBipolar Cells | Xylem SSLC,5827,248,11,2026-01-24,11:31:00
