video_id,channel_name,title,subscribers,published_date,views,likes,comments,duration,tags,thumbnail
Ro96aFlmSqE,Xylem SSLC,SSLC Public Exam 2026: Mega Marathon | Sure Questions | Xylem SSLC,,2026-02-01T17:37:40Z,136520,8209,252,PT3H28M31S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/Ro96aFlmSqE/hqdefault.jpg
BremPxYBlYc,Xylem SSLC,BIG HAPPY NEWS🛑 പഠിക്കാനുള്ള Syllabus 25% കുറയ്ക്കും | Xylem SSLC,,2026-02-01T12:30:16Z,18158,936,151,PT1M41S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/BremPxYBlYc/hqdefault.jpg
PVVQ9Iks26o,Xylem SSLC,Coming Soon..,,2026-02-01T11:30:20Z,25802,866,6,PT33S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/PVVQ9Iks26o/hqdefault.jpg
ml1ViawmczU,Xylem SSLC,നിങ്ങളുടെ കൂടെ ഞങ്ങളുണ്ട്💚,,2026-02-01T10:01:18Z,27952,1451,73,PT1M19S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/ml1ViawmczU/hqdefault.jpg
zjpXbzhzUMI,Xylem SSLC,SSLC Maths 2026: Geometry and Algebra | One Shot Revision | Xylem SSLC,,2026-02-01T09:56:33Z,0,24,0,P0D,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/zjpXbzhzUMI/hqdefault_live.jpg
BxbFkm4aSFs,Xylem SSLC,SSLC February 2 മുതൽ എങ്ങനെ പഠിക്കണം? Effective Study Plan | Xylem SSLC,,2026-02-01T06:42:06Z,0,94,0,P0D,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/BxbFkm4aSFs/hqdefault_live.jpg
wCsA8fg8MJU,Xylem SSLC,സുകുമാരൻ ചലിഗദ്ധ -കെത്തളു | Part 4,,2026-02-01T06:07:41Z,28331,1045,19,PT1M42S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/wCsA8fg8MJU/hqdefault.jpg
AYKMLejViKo,Xylem SSLC,SSLC IT Public Exam 2026 | Marathon | Practical & Theory | Xylem SSLC,,2026-01-31T18:23:41Z,181218,9272,455,PT3H52M,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/AYKMLejViKo/hqdefault.jpg
LLcrqe00Iuk,Xylem SSLC,സൈലം സ്കൂളിൽ എങ്ങനെയാണ് ഇത്രയും Rank Holders ഉണ്ടാവുന്നത്..! | Xylem SSLC,,2026-01-31T15:30:22Z,1453,35,2,PT9M5S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/LLcrqe00Iuk/hqdefault.jpg
JAaqpJI020w,Xylem SSLC,SSLC Chapter 6: The World of Robots | Auto Sanitizer Dispenser & Ai Face Detection  | Xylem SSLC,,2026-01-31T14:30:21Z,25324,1095,89,PT24M17S,"['sslc', 'xylem sslc', 'SSLC Public Exam 2026', 'SSLC public exam syllabus 2026', 'SSLC important questions', 'SSLC Maths', 'SSLC Physics', 'SSLC Chemistry', 'SSLC Biology', 'SSLC Social Science', 'SSLC Hindi', 'SSLC Malayalam', 'SSLC IT', 'SSLC Urdu', 'SSLC Arabic', 'SSLC Sanskrit', 'SSLC Maths important questions', 'Physics important questions', 'Chemistry important question', 'SSLC Biology diagrams', 'History', 'Geography', 'SSLC IT important questions', 'Maths problem solving questions', 'Maths A+ questions', 'revisionclass']",https://i.ytimg.com/vi/JAaqpJI020w/hqdefault.jpg
